YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW2/DT32,29857,34383
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NE18,5006,5789
2025-04,WEEKDAY,23,TRAIN,TE27,454,2812
2025-04,WEEKDAY,5,TRAIN,PE4,699,148
2025-04,WEEKENDS/HOLIDAY,13,TRAIN,CC2,2689,3646
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,BP8,918,951
2025-04,WEEKDAY,12,TRAIN,NS27/CE2/TE20,6217,5096
2025-04,WEEKDAY,23,TRAIN,DT6,552,2084
2025-04,WEEKENDS/HOLIDAY,21,TRAIN,DT24,969,2637
2025-04,WEEKENDS/HOLIDAY,16,TRAIN,EW3,7939,8975
2025-04,WEEKDAY,10,TRAIN,BP9,3259,2015
2025-04,WEEKENDS/HOLIDAY,5,TRAIN,DT28,452,19
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,EW29,311,1141
2025-04,WEEKENDS/HOLIDAY,17,TRAIN,CC11,9973,6415
2025-04,WEEKENDS/HOLIDAY,9,TRAIN,TE22,527,2930
2025-04,WEEKENDS/HOLIDAY,20,TRAIN,NS14,7394,16519
2025-04,WEEKDAY,0,TRAIN,EW33,0,259
2025-04,WEEKDAY,19,TRAIN,NE12/CC13,73151,144487
2025-04,WEEKDAY,0,TRAIN,DT13,287,632
2025-04,WEEKDAY,13,TRAIN,NS11,29482,26918
2025-04,WEEKDAY,16,TRAIN,EW12/DT14,67707,57072
2025-04,WEEKENDS/HOLIDAY,6,TRAIN,BP6/DT1,9631,3928
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NE18,2197,2294
2025-04,WEEKDAY,18,TRAIN,DT13,27338,20372
2025-04,WEEKDAY,7,TRAIN,NS4/BP1,123338,73861
2025-04,WEEKDAY,9,TRAIN,DT17,3907,128026
2025-04,WEEKDAY,19,TRAIN,NS3,18386,51334
2025-04,WEEKENDS/HOLIDAY,12,TRAIN,CC23,2938,2248
2025-04,WEEKDAY,5,TRAIN,NS21/DT11,3826,2474
2025-04,WEEKENDS/HOLIDAY,19,TRAIN,TE26,7983,5340
2025-04,WEEKDAY,23,TRAIN,NE4/DT19,17628,8223
2025-04,WEEKDAY,23,TRAIN,DT30,610,6159
2025-04,WEEKDAY,0,TRAIN,DT21,284,308
2025-04,WEEKDAY,0,TRAIN,NS4/BP1,1006,3905
2025-04,WEEKDAY,7,TRAIN,TE19,1548,24447
2025-04,WEEKDAY,5,TRAIN,EW4,4523,485
2025-04,WEEKENDS/HOLIDAY,0,TRAIN,PE4,41,141
2025-04,WEEKENDS/HOLIDAY,23,TRAIN,NS4/BP1,2842,8395
2025-04,WEEKDAY,19,TRAIN,EW22,11870,13344
2025-04,WEEKENDS/HOLIDAY,15,TRAIN,NS16,18128,20853
2025-04,WEEKDAY,19,TRAIN,NS15,32168,27093
2025-04,WEEKENDS/HOLIDAY,8,TRAIN,TE8,3307,4699
2025-04,WEEKDAY,11,TRAIN,TE7,6525,3670
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,BP5,1252,997
2025-04,WEEKDAY,17,TRAIN,DT27,27915,13312
2025-04,WEEKDAY,14,TRAIN,BP2,1828,2516
2025-04,WEEKDAY,18,TRAIN,CC5,17730,8440
2025-04,WEEKDAY,19,TRAIN,DT23,10392,7526
2025-04,WEEKDAY,23,TRAIN,NE9,3371,9315
2025-04,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,20191,39089
2025-04,WEEKDAY,7,TRAIN,NS3,78250,21869
