,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
295,2025-04,WEEKDAY,23,TRAIN,EW8/CC9,11202,10156
296,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,NS23,5988,19655
297,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,NS14,7649,16958
298,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW16/NE3/TE17,5603,10634
299,2025-04,WEEKENDS/HOLIDAY,18,TRAIN,TE4,3729,3216
300,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,SW2,592,600
301,2025-04,WEEKDAY,8,TRAIN,PW1,864,2624
302,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,PE3,558,2271
303,2025-04,WEEKENDS/HOLIDAY,13,TRAIN,NS5,13559,12938
304,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,NS4/BP1,9574,18335
305,2025-04,WEEKDAY,19,TRAIN,DT25,5231,9258
306,2025-04,WEEKENDS/HOLIDAY,9,TRAIN,CC23,1019,2840
307,2025-04,WEEKDAY,13,TRAIN,TE25,2413,3000
308,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,NS11,17134,17581
309,2025-04,WEEKDAY,18,TRAIN,EW33,11818,14178
310,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,EW8/CC9,5975,3192
311,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,NE18,4484,5367
312,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,EW30,1175,2723
313,2025-04,WEEKENDS/HOLIDAY,10,TRAIN,BP9,1961,1265
314,2025-04,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1703,2534
315,2025-04,WEEKDAY,20,TRAIN,NS7,19915,38738
316,2025-04,WEEKDAY,13,TRAIN,EW22,11543,12682
317,2025-04,WEEKDAY,19,TRAIN,PE5,3977,16126
318,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,NS13,783,3953
319,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,DT27,4351,3544
320,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,EW10,5581,6970
321,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6006,4975
322,2025-04,WEEKENDS/HOLIDAY,7,TRAIN,EW23,14238,13814
323,2025-04,WEEKDAY,0,TRAIN,CC11,124,556
324,2025-04,WEEKDAY,0,TRAIN,CC16,31,324
325,2025-04,WEEKDAY,14,TRAIN,SW3,2428,2216
326,2025-04,WEEKDAY,6,TRAIN,TE4,6325,3666
327,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,NE13,3429,2483
328,2025-04,WEEKDAY,14,TRAIN,TE12,4582,6537
329,2025-04,WEEKDAY,5,TRAIN,DT6,348,195
330,2025-04,WEEKENDS/HOLIDAY,5,TRAIN,NS16,3663,342
331,2025-04,WEEKDAY,19,TRAIN,DT18,46885,12397
332,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,NS17/CC15,17622,6114
333,2025-04,WEEKDAY,6,TRAIN,EW28,72983,15250
334,2025-04,WEEKDAY,15,TRAIN,NS10,25377,33061
335,2025-04,WEEKENDS/HOLIDAY,15,TRAIN,EW32,1776,1079
336,2025-04,WEEKDAY,21,TRAIN,EW20,7555,13456
337,2025-04,WEEKENDS/HOLIDAY,12,TRAIN,PW5,1920,1170
338,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,BP9,139,584
339,2025-04,WEEKENDS/HOLIDAY,14,TRAIN,CC6,5460,9262
340,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,CC17/TE9,1484,617
341,2025-04,WEEKENDS/HOLIDAY,23,TRAIN,CC2,971,883
342,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,SW8,296,1141
343,2025-04,WEEKDAY,13,TRAIN,DT4,1586,1818
344,2025-04,WEEKDAY,17,TRAIN,NS14,42780,60968
345,2025-04,WEEKDAY,11,TRAIN,DT6,7050,7266
346,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,CC27,287,1984
347,2025-04,WEEKENDS/HOLIDAY,20,TRAIN,PE6,2196,2855
348,2025-04,WEEKENDS/HOLIDAY,8,TRAIN,NE15,11413,4169
349,2025-04,WEEKENDS/HOLIDAY,21,TRAIN,EW15,9351,3775
350,2025-04,WEEKDAY,14,TRAIN,EW22,15321,9614
351,2025-04,WEEKDAY,14,TRAIN,NE9,21697,18138
352,2025-04,WEEKDAY,23,TRAIN,NE16/STC,4735,20099
353,2025-04,WEEKDAY,7,TRAIN,CC28,10462,4786
354,2025-04,WEEKDAY,10,TRAIN,NE7/DT12,19203,31999
355,2025-04,WEEKENDS/HOLIDAY,11,TRAIN,EW14/NS26,8313,12754
356,2025-04,WEEKENDS/HOLIDAY,17,TRAIN,EW29,13808,6528
357,2025-04,WEEKENDS/HOLIDAY,6,TRAIN,TE28,488,104
358,2025-04,WEEKDAY,16,TRAIN,CC21,12633,13081
359,2025-04,WEEKENDS/HOLIDAY,22,TRAIN,DT6,635,1848
360,2025-04,WEEKENDS/HOLIDAY,0,TRAIN,PW7,58,156
361,2025-04,WEEKDAY,10,TRAIN,EW1,29906,11752
